name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result
855;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.04;False
856;ERR;ERR;0.01;True;0.0;True;0.12;True;0.10672414699999999;0.05;True;0.04;True;0.03;True
857;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.03;False
858;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;26.83;False;0.39;False;32.04;False
859;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;0.05;True;0.16;False;0.05;True
860;0.01;False;0.01;False;0.02;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
861;0.01;False;15.9;False;ERR;ERR;TO;TO;TO;17.53;False;42.54;False;TO;TO
862;0.01;False;0.01;False;0.03;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
863;0.02;False;0.04;False;0.07;False;ERR;ERR;ERR;0.06;False;0.14;False;0.15;False
864;14.93;True;0.01;True;0.01;True;11.81;True;0.3737631839999995;0.06;True;0.72;False;0.02;True
865;35.26;True;0.0;True;0.01;True;0.25;True;0.216446906;0.04;True;0.06;True;0.05;True
866;0.6;False;TO;TO;TO;TO;0.22;False;0.132460653;20.37;False;0.48;False;TO;TO
867;0.02;False;0.0;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
868;0.01;False;0.01;True;0.0;True;9.3;True;0.2773781570000011;ERR;ERR;ERR;ERR;ERR;ERR
869;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;ERR;ERR;0.03;False
870;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
871;0.01;False;0.01;False;0.01;False;71.65;False;0.24878856899999846;ERR;ERR;ERR;ERR;ERR;ERR
872;0.0;False;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
873;0.01;False;3.33;False;ERR;ERR;ERR;ERR;ERR;6.56;False;6.42;False;47.22;False
874;87.56;False;0.37;False;0.57;False;ERR;ERR;ERR;0.09;False;0.39;False;1.23;False
875;0.01;False;0.0;False;0.0;False;9.73;False;0.15858928799999994;0.05;False;0.06;False;0.05;False
876;0.0;False;0.0;True;0.01;True;0.37;True;0.10675816700000001;0.05;True;ERR;ERR;0.04;True
877;0.01;False;24.72;False;0.01;False;ERR;ERR;ERR;5.77;False;30.12;False;0.16;False
878;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False
879;0.01;False;0.01;False;0.0;False;TO;TO;TO;0.05;False;0.04;False;0.04;False
880;0.01;False;0.0;True;0.01;True;0.24;True;0.145334725;0.04;True;0.04;True;0.03;True
881;0.01;False;0.01;True;0.0;True;4.18;True;0.21152643199999988;ERR;ERR;ERR;ERR;ERR;ERR
882;0.12;True;0.01;True;0.01;True;0.4;True;0.233267683;0.07;True;0.27;False;0.03;True
883;0.01;True;0.01;False;0.01;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
884;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;0.07;True;0.04;True
885;0.01;True;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
886;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.07;False;0.03;False;0.02;False
887;0.01;False;0.9;False;1.25;False;ERR;ERR;ERR;0.11;False;0.73;False;2.98;False
888;0.01;False;1.69;False;2.11;False;ERR;ERR;ERR;0.06;False;1.05;False;1.84;False
889;0.01;False;0.91;False;1.29;False;ERR;ERR;ERR;0.14;False;0.52;False;1.21;False
890;0.0;False;0.89;False;0.01;False;ERR;ERR;ERR;0.25;False;0.9;False;0.04;False
891;0.01;False;1.31;False;1.98;False;ERR;ERR;ERR;0.14;False;0.12;False;3.62;False
892;0.01;False;0.0;False;0.01;False;0.38;False;0.252945383;0.06;False;ERR;ERR;0.05;False
893;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.07;False;0.03;False
894;ERR;ERR;0.0;False;0.01;False;0.04;False;6.240000000000412e-05;0.07;False;0.03;False;0.03;False
895;0.01;False;0.0;False;0.0;False;ERR;ERR;ERR;0.06;False;0.06;False;0.04;False
896;0.01;False;0.01;True;0.0;True;4.65;True;0.2865545860000003;ERR;ERR;ERR;ERR;ERR;ERR
897;0.02;False;0.01;True;0.01;True;0.19;True;0.124996995;0.05;True;ERR;ERR;0.04;True
898;ERR;ERR;5.61;False;0.01;False;ERR;ERR;ERR;0.06;True;0.04;False;8.48;False
899;0.02;True;0.01;True;0.01;True;0.48;True;0.0010526209999999758;0.06;True;0.14;False;0.04;True
900;0.0;False;0.94;False;1.44;False;1.35;False;0.28011173999999994;0.12;False;0.7;False;3.11;False
901;0.01;False;0.03;True;0.01;True;ERR;ERR;ERR;0.06;True;0.07;False;0.02;True
902;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.03;False
903;0.01;False;0.01;True;0.01;True;1.01;True;0.30675529700000004;ERR;ERR;ERR;ERR;ERR;ERR
904;0.01;False;0.0;False;0.01;False;0.21;False;0.072771583;0.06;False;0.03;False;0.02;False
905;0.06;True;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.06;False;0.04;True
906;0.01;False;0.01;False;0.01;False;2.44;False;0.20094827999999998;0.05;False;0.02;False;0.02;False
907;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False
908;0.01;False;0.02;False;0.01;False;1.33;False;0.0014620320000000575;0.07;False;0.12;False;0.08;False
909;0.01;False;2.54;True;3.68;True;ERR;ERR;ERR;0.49;True;2.18;False;7.56;True
910;ERR;ERR;0.01;False;0.0;False;ERR;ERR;ERR;0.07;False;0.04;False;0.03;False
911;0.0;False;0.05;False;0.01;False;4.89;False;0.3923055120000001;ERR;ERR;ERR;ERR;ERR;ERR
912;0.01;False;0.6;False;0.5;False;TO;TO;TO;0.11;False;0.33;False;0.63;False
913;0.01;True;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False
914;ERR;ERR;0.0;True;0.0;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
915;0.0;False;15.35;False;34.94;False;ERR;ERR;ERR;3.79;False;0.26;False;62.06;False
916;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False
917;0.01;False;0.0;True;0.0;True;29.57;True;0.2279492079999983;ERR;ERR;ERR;ERR;ERR;ERR
918;14.25;False;6.55;False;0.01;False;0.17;False;0.13064034100000002;1.35;False;0.05;False;0.05;False
919;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;0.11;False;0.04;True
920;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
921;0.01;False;0.1;False;0.01;False;ERR;ERR;ERR;0.18;False;0.28;False;0.04;False
922;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;0.05;True;0.03;True
923;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.05;False;0.05;False
924;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
925;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
926;0.01;False;0.74;False;6.92;False;ERR;ERR;ERR;1.02;False;2.44;False;6.72;False
927;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.04;False
928;19.74;True;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;2.46;False;0.03;True
929;0.01;False;0.01;False;0.01;False;0.03;False;1.3450000000005125e-05;ERR;ERR;ERR;ERR;ERR;ERR
930;11.31;True;0.01;True;0.01;True;0.34;True;0.272257012;0.07;True;0.04;True;0.02;True
931;ERR;ERR;0.01;False;0.01;False;TO;TO;TO;0.07;False;0.03;False;0.04;False
932;0.01;False;0.0;True;0.0;True;0.16;True;0.09863313800000001;0.05;True;0.03;False;0.03;True
933;0.01;False;1.17;False;1.62;False;ERR;ERR;ERR;0.12;False;0.38;False;3.4;False
934;ERR;ERR;0.01;False;0.01;False;8.37;False;0.17420583399999856;0.07;False;0.03;False;0.04;False
935;ERR;ERR;0.0;False;0.01;False;8.18;False;0.0018571520000003616;0.06;False;0.03;False;0.04;False
936;0.15;False;0.09;False;0.12;False;0.55;False;0.10566325499999996;0.07;False;ERR;ERR;0.18;False
937;ERR;ERR;TO;TO;0.01;False;15.54;False;0.07679931699999898;34.55;False;0.28;False;TO;TO
938;0.02;False;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
939;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.02;False;0.03;False
940;0.39;True;0.0;True;0.01;True;ERR;ERR;ERR;0.05;True;0.03;True;0.03;True
941;ERR;ERR;0.01;True;0.01;True;1.38;True;0.14812131799999984;0.06;True;ERR;ERR;0.04;True
942;0.0;False;15.84;False;0.01;False;ERR;ERR;ERR;1.2;False;0.05;False;41.39;False
943;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;2.77;False;1.88;False;TO;TO
944;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.08;False;0.04;False
945;0.01;False;0.01;False;0.01;False;18.44;False;0.11391290399999932;ERR;ERR;ERR;ERR;ERR;ERR
946;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
947;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False
948;ERR;ERR;0.0;False;0.0;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False
949;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.03;False
950;0.0;False;0.0;False;0.01;False;TO;TO;TO;0.06;False;ERR;ERR;0.03;False
951;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.03;False
952;0.01;False;37.65;False;34.98;False;ERR;ERR;ERR;3.01;False;5.2;False;65.84;False
953;ERR;ERR;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
954;41.58;True;0.0;True;0.0;True;0.29;True;0.11140370099999997;0.05;True;0.18;False;0.04;True
955;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False
956;0.01;False;63.7;False;86.26;False;ERR;ERR;ERR;3.76;False;0.27;False;TO;TO
957;0.01;False;0.09;False;0.0;False;0.43;False;0.137995798;0.06;False;0.15;False;0.02;False
958;TO;TO;0.01;True;0.01;True;0.46;True;0.185111835;0.05;True;0.04;True;0.05;True
959;11.28;True;0.0;True;0.01;True;0.65;True;0.15753769700000003;0.07;True;0.17;False;0.03;True
960;0.02;False;0.01;True;0.01;True;0.4;True;0.226058806;0.05;True;ERR;ERR;0.03;True
961;0.02;False;0.0;False;0.01;False;1.91;False;0.17252068200000004;0.07;False;0.05;False;0.04;False
962;0.01;False;0.01;False;0.01;False;7.83;False;0.10794641800000004;0.06;False;0.02;False;0.04;False
963;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;ERR;ERR;TO;TO
964;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False
965;0.02;False;0.82;False;1.29;False;ERR;ERR;ERR;0.14;False;0.24;False;1.33;False
966;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.06;False;0.03;False
967;0.01;False;0.01;True;0.01;True;TO;TO;TO;0.06;True;ERR;ERR;0.04;True
968;0.02;False;60.29;False;ERR;ERR;ERR;ERR;ERR;6.94;False;48.32;False;92.81;False
969;0.01;False;0.01;True;0.0;True;4.45;True;0.2816077209999994;ERR;ERR;ERR;ERR;ERR;ERR
970;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
971;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.06;False;0.04;False
972;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.06;False;0.04;False
973;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
974;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False
975;0.01;False;0.01;True;0.01;True;0.2;True;0.141460291;0.06;True;ERR;ERR;0.03;True
