name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
801;0.02;True;0.01;False;0.01;False;9.79;False;9.091690587;7.69;False;6.997971745;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
802;0.02;True;0.01;False;0.01;False;9.65;False;8.931163748;7.69;False;6.9757955780000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
803;0.02;True;0.01;False;0.01;False;9.95;False;9.230138986;7.69;False;6.987033985;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
804;0.01;True;0.01;False;0.01;False;9.66;False;8.942280401;7.6;False;6.923708515;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
805;0.01;True;0.0;False;0.01;False;9.77;False;9.087970144;7.71;False;6.990864108;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
806;0.01;True;0.01;False;0.01;False;9.91;False;9.216242782;7.75;False;7.070191637;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
807;0.01;True;0.01;False;0.01;False;9.73;False;9.025573837000001;7.99;False;7.320023857;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
808;0.02;True;0.01;False;0.01;False;7.76;False;5.357117082;6.54;False;4.102800731;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
809;0.02;True;0.01;False;0.01;False;12.69;False;10.271703956000001;10.32;False;7.8691171639999995;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
810;0.02;True;1.08;False;0.01;False;11.83;False;9.62271008;10.34;False;8.157433529;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
811;0.02;True;1.08;False;0.01;False;12.25;False;10.000817347;9.82;False;7.583335385;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
812;0.01;True;0.01;False;0.01;False;8.52;False;6.230265116999999;7.08;False;4.876729912;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
813;0.02;True;0.01;False;0.01;False;9.6;False;7.432729603999999;7.93;False;5.702873493;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
814;0.02;True;0.01;False;0.0;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
815;0.01;True;0.01;False;0.0;False;12.9;False;10.367447519999999;10.46;False;8.038399628;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
816;0.02;True;0.01;False;0.01;False;12.94;False;10.527083051;10.71;False;8.29015197;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
817;0.01;True;0.0;False;0.01;False;13.07;False;10.685319183;10.48;False;8.016208850999998;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
818;0.02;True;0.01;False;0.0;False;12.56;False;10.178640600000001;10.47;False;8.088361141;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
819;0.02;True;0.01;False;0.01;False;12.8;False;10.389114589;10.49;False;8.12449011;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
820;0.01;True;0.02;False;0.01;False;12.75;False;10.366902372999999;11.22;False;8.88938019;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
821;0.01;True;0.01;False;0.01;False;12.65;False;10.305586066;10.18;False;7.8611035650000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
822;0.02;True;0.09;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
823;0.01;True;1.07;False;0.0;False;12.19;False;9.862724957000001;10.16;False;7.809674933;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
824;0.03;True;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
825;0.02;True;0.01;False;0.0;False;13.17;False;10.69922824;10.5;False;8.069310213000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
826;0.02;True;0.01;False;0.01;False;12.87;False;10.55443782;10.33;False;7.9211418049999995;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
827;0.02;True;0.01;False;0.01;False;9.86;False;7.456732123;8.16;False;5.80842105;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
828;0.01;True;0.01;False;0.01;False;9.91;False;7.541134955;8.22;False;5.862754986000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
829;0.01;True;0.01;False;0.0;False;7.59;False;5.3194531309999995;6.54;False;4.25256471;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
830;0.02;True;0.01;False;0.0;False;12.71;False;10.430843692;10.27;False;7.9976985570000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
831;0.01;True;0.01;False;0.01;False;13.0;False;10.791025737;10.34;False;8.123147936999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
832;0.01;True;0.01;False;0.01;False;7.83;False;5.560184609;6.52;False;4.338114938;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
833;0.02;True;0.0;False;0.0;False;12.69;False;10.442551139999999;10.11;False;7.778078768;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
834;0.03;True;0.01;False;0.01;False;12.67;False;10.355786326;10.32;False;8.084584678999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
835;0.02;True;0.0;False;0.01;False;8.91;False;6.716828129;7.53;False;5.3312998920000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
836;0.02;True;0.02;False;0.01;False;12.64;False;10.375652707;10.36;False;8.071097899;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
837;0.02;True;2.12;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
838;0.02;True;0.01;False;0.01;False;12.99;False;10.41910167;10.68;False;8.139237594;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
839;0.02;True;TO;TO;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
840;0.02;True;0.01;False;0.01;False;12.68;False;10.186578926;10.45;False;8.021979313;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
841;0.02;True;1.08;False;0.0;False;13.07;False;10.598026078;10.51;False;8.049807139;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
842;0.02;True;1.17;False;0.0;False;12.54;False;10.080758298000001;10.23;False;7.792850700000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
