name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
238;0.02;True;0.01;True;ERR;ERR;0.72;True;0.614082608;0.62;True;0.518632848;0.05;True;0.07;False;0.04;True;ERR;ERR;ERR
239;0.0;True;0.02;False;0.02;False;3.23;False;3.172191159;2.57;False;2.516718243;0.05;False;0.19;False;0.05;False;ERR;ERR;ERR
240;0.01;True;0.01;True;ERR;ERR;0.45;False;0.423905371;0.35;False;0.323754856;0.05;True;0.07;False;0.05;True;ERR;ERR;ERR
241;0.01;True;0.01;False;0.01;False;0.27;False;0.0019134919999999889;0.25;False;0.001518980000000003;0.06;False;0.04;False;0.05;False;ERR;ERR;ERR
242;0.01;True;0.01;False;0.01;False;0.29;False;0.0021351150000000207;0.27;False;0.0016891259999999853;0.06;False;0.04;False;0.05;False;ERR;ERR;ERR
243;0.01;True;0.0;False;0.0;False;0.26;False;0.002272710999999983;0.25;False;0.0017643689999999879;0.06;False;0.04;False;0.06;False;ERR;ERR;ERR
244;0.01;True;0.01;True;ERR;ERR;0.73;True;0.642995375;0.49;True;0.412335468;0.06;True;0.07;False;0.04;True;0.03;False;0.018419384956359863
245;0.01;True;0.01;False;0.01;False;0.27;False;0.0020721509999999943;0.28;False;0.0015845379999999964;0.07;False;0.04;False;0.05;False;ERR;ERR;ERR
246;0.01;True;0.01;False;0.01;False;0.29;False;0.0021169669999999696;0.27;False;0.0017033669999999557;0.06;False;0.05;False;0.04;False;ERR;ERR;ERR
247;0.01;True;0.01;True;ERR;ERR;0.74;True;0.65794124;0.59;True;0.508450213;0.06;True;0.07;False;0.04;True;ERR;ERR;ERR
