name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
91;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False;ERR
92;ERR;ERR;0.01;False;0.01;False;18.36;False;0.1651122249999979;0.06;False;0.03;False;0.03;False;ERR
93;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR;0.07;True;0.08;False;0.04;True;ERR
94;ERR;ERR;0.01;False;0.01;False;1.98;False;0.1960620959999999;0.07;False;0.06;False;0.04;False;ERR
95;0.02;False;0.0;False;0.0;False;ERR;ERR;ERR;0.06;False;0.05;False;0.05;False;ERR
96;ERR;ERR;TO;TO;0.01;False;0.29;False;0.0008305809999999969;TO;TO;TO;TO;TO;TO;ERR
97;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.01;False;0.04;False;ERR
98;0.0;False;0.72;False;0.71;False;92.05;False;0.7277228469999955;0.15;False;ERR;ERR;1.51;False;ERR
99;0.01;False;0.74;False;0.0;False;ERR;ERR;ERR;1.18;False;1.68;False;0.07;False;ERR
100;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.05;False;0.03;True;ERR
101;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.14;False;0.04;False;ERR
102;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.04;False;0.03;False;ERR
103;0.0;False;0.0;True;0.01;True;0.45;True;0.139230519;ERR;ERR;ERR;ERR;ERR;ERR;ERR
104;TO;TO;0.01;True;0.01;True;0.71;True;0.33780075800000003;0.05;True;0.04;False;0.04;True;ERR
105;TO;TO;0.31;False;0.67;False;ERR;ERR;ERR;0.05;True;0.46;False;1.35;False;ERR
106;0.01;False;0.0;True;0.01;True;9.36;True;0.24358037400000043;ERR;ERR;ERR;ERR;ERR;ERR;ERR
107;ERR;ERR;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO;ERR
108;0.01;False;19.58;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
109;0.01;False;0.0;False;0.01;False;2.91;False;0.10695235699999994;0.04;False;0.03;False;0.04;False;ERR
110;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.02;False;0.04;False;ERR
111;TO;TO;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;TO;TO;0.03;True;ERR
112;0.01;False;0.01;True;0.0;True;6.26;True;0.22054860000000076;ERR;ERR;ERR;ERR;ERR;ERR;ERR
113;0.0;False;0.74;False;0.01;False;ERR;ERR;ERR;0.1;False;0.06;False;1.91;False;ERR
114;0.02;False;0.0;True;0.01;True;ERR;ERR;ERR;0.05;True;TO;TO;0.03;True;ERR
115;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR;0.04;False;0.04;False;0.02;False;ERR
116;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False;ERR
117;0.01;False;0.01;False;0.01;False;0.06;False;0.035325815999999996;0.06;False;0.04;False;0.04;False;ERR
118;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.33;False;0.04;True;ERR
119;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.11;False;0.05;False;ERR
120;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False;ERR
121;0.01;False;0.0;False;0.0;False;ERR;ERR;ERR;0.05;False;0.03;False;0.02;False;ERR
122;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.04;False;ERR
123;0.01;False;ERR;ERR;0.02;True;ERR;ERR;ERR;0.07;True;0.07;True;0.05;True;ERR
124;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO;ERR
125;0.01;False;0.02;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
126;0.0;False;0.0;False;ERR;ERR;0.05;False;0.0007075709999999971;0.05;False;0.06;False;0.04;False;ERR
127;0.01;False;0.01;False;0.01;False;0.78;False;4.524999999999668e-05;0.06;False;0.03;False;0.05;False;ERR
128;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;TO;TO;0.27;False;TO;TO;ERR
129;ERR;ERR;0.02;False;ERR;ERR;TO;TO;TO;0.06;False;0.04;False;0.03;False;ERR
130;0.01;False;0.01;False;0.01;False;0.25;False;0.176466906;0.06;False;0.04;False;0.04;False;ERR
131;0.0;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.05;False;0.03;False;ERR
132;ERR;ERR;TO;TO;0.0;False;ERR;ERR;ERR;74.19;False;0.74;False;TO;TO;ERR
133;0.02;False;1.23;False;2.95;False;ERR;ERR;ERR;0.38;False;1.41;False;5.47;False;ERR
134;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR;TO;TO;2.92;False;TO;TO;ERR
135;88.74;False;0.51;False;0.77;False;0.38;False;0.24951766000000003;0.1;False;0.54;False;1.61;False;ERR
136;0.01;False;87.88;False;0.01;False;0.82;False;0.502305573;12.19;False;60.45;False;TO;TO;ERR
137;0.01;False;1.73;False;3.91;False;ERR;ERR;ERR;0.43;False;1.47;False;7.51;False;ERR
138;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.04;False;0.02;False;0.04;False;ERR
139;0.01;False;0.09;False;0.13;False;0.51;False;0.09432004500000002;0.07;False;ERR;ERR;0.37;False;ERR
140;0.01;False;0.01;False;0.01;False;0.03;False;2.2069999999999035e-05;0.05;False;0.03;False;0.05;False;ERR
141;0.02;False;57.72;False;82.31;False;ERR;ERR;ERR;3.29;False;0.25;False;TO;TO;ERR
142;0.01;False;0.01;False;0.01;False;0.8;False;0.12842033899999994;0.07;False;0.03;False;0.04;False;ERR
143;0.01;False;0.01;False;0.0;False;0.04;False;5.513999999999519e-05;0.06;False;0.03;False;0.03;False;ERR
144;0.01;False;0.0;False;0.0;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False;ERR
145;ERR;ERR;1.84;False;1.36;False;ERR;ERR;ERR;0.1;False;0.05;False;1.63;False;ERR
146;0.01;False;9.96;False;0.01;False;14.08;False;0.3304694709999989;0.27;False;4.08;False;15.05;False;ERR
147;0.01;True;0.0;False;0.01;False;TO;TO;TO;0.05;False;0.03;False;0.04;False;ERR
148;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.03;False;ERR
149;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False;ERR
150;0.01;False;0.59;False;0.01;False;41.29;False;0.22432590399999697;0.11;False;0.47;False;0.9;False;ERR
151;TO;TO;0.4;False;0.84;False;0.18;False;0.145486515;0.15;False;0.52;False;1.6;False;ERR
152;ERR;ERR;0.01;False;0.01;False;2.39;False;4.296999999997553e-05;0.06;False;0.04;False;0.04;False;ERR
153;0.01;False;0.01;True;0.01;True;4.72;True;0.3470820570000006;ERR;ERR;ERR;ERR;ERR;ERR;ERR
154;0.0;False;0.05;False;0.06;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
155;0.02;False;0.01;False;0.01;False;TO;TO;TO;0.05;False;ERR;ERR;0.02;False;ERR
156;0.01;False;0.2;False;0.13;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
157;0.01;False;0.01;False;0.01;False;0.03;False;1.8459999999997923e-05;0.06;False;0.04;False;0.03;False;ERR
158;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.04;False;0.03;False;ERR
