name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;notrackrsa-runtime;notrackrsa-result;notrackrsa-matchtime;js-runtime;java-runtime;net-runtime;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
610;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
611;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
612;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
613;ERR;ERR;0.0;True;0.01;True;3.57;True;0.13552243899999983;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
614;ERR;ERR;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
615;ERR;ERR;0.01;False;0.0;False;0.79;False;0.10941879799999998;0.67;False;0.14532317000000006;ERR;ERR;ERR;ERR;ERR;ERR
616;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
617;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
618;ERR;ERR;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
619;41.73;True;0.01;True;0.01;True;0.83;True;0.24599126300000007;1.94;True;0.5160321349999999;ERR;ERR;ERR;ERR;ERR;ERR
620;ERR;ERR;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
621;0.01;False;TO;TO;ERR;ERR;82.58;False;0.2657952080000001;38.52;False;0.5867791860000011;ERR;ERR;ERR;ERR;ERR;ERR
622;0.01;False;0.01;False;0.0;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
623;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
624;0.01;False;57.14;False;86.78;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
625;0.01;False;0.08;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
626;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
627;0.01;True;0.01;True;0.01;True;0.85;True;0.0013174069999999372;3.07;True;0.01126039099999998;ERR;ERR;ERR;ERR;ERR;ERR
628;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
629;0.0;False;0.01;True;0.0;True;4.93;True;0.3695361840000002;2.66;True;0.6129424959999998;ERR;ERR;ERR;ERR;ERR;ERR
630;0.01;False;0.0;True;0.0;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
631;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
632;0.02;False;TO;TO;0.01;False;3.87;False;0.14390522200000033;4.68;False;0.358133708;ERR;ERR;ERR;ERR;ERR;ERR
633;0.01;False;0.01;False;0.0;False;0.9;False;0.18457596799999998;10.72;False;0.3918434269999995;ERR;ERR;ERR;ERR;ERR;ERR
634;ERR;ERR;0.01;False;0.01;False;7.83;False;0.0750019480000006;13.95;False;0.06620337099999851;ERR;ERR;ERR;ERR;ERR;ERR
635;0.02;False;0.01;False;0.01;False;0.26;False;0.23327515599999998;0.24;False;0.20790368299999998;ERR;ERR;ERR;ERR;ERR;ERR
636;0.01;False;0.29;False;0.8;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
637;0.01;True;0.01;True;0.01;True;0.15;True;0.0008626349999999727;0.09;True;0.001186631999999993;ERR;ERR;ERR;ERR;ERR;ERR
638;ERR;ERR;0.4;False;0.85;False;0.24;False;0.137060487;0.2;False;0.130837677;ERR;ERR;ERR;ERR;ERR;ERR
639;ERR;ERR;2.09;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
640;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
641;0.02;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
642;TO;TO;0.1;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
643;0.02;False;0.01;True;0.01;True;8.15;True;0.0026032469999996977;5.48;True;0.003822216999999739;ERR;ERR;ERR;ERR;ERR;ERR
644;0.01;False;2.1;False;3.68;False;2.92;False;0.445281316;1.43;False;0.606807508;ERR;ERR;ERR;ERR;ERR;ERR
645;0.01;False;0.01;False;0.0;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
