name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;nolocrsa-runtime;nolocrsa-result;nolocrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
346;ERR;ERR;0.0;True;0.01;True;0.79;True;0.1551678569999999;0.16;True;0.04920882200000001;0.06;True;ERR;ERR;0.04;True;ERR;ERR;ERR
347;0.01;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;0.06;False;0.04;False;0.05;False;ERR;ERR;ERR
348;0.12;True;0.01;True;0.01;True;0.39;True;0.17791222599999998;0.13;True;0.062015716;0.06;True;0.75;False;0.04;True;ERR;ERR;ERR
349;38.04;True;0.01;True;0.01;True;0.72;True;0.172315475;0.15;True;0.03971235899999999;0.06;True;0.22;False;0.04;True;ERR;ERR;ERR
350;0.01;False;0.21;False;0.01;False;6.46;False;0.33872400400000036;0.82;False;0.09660923100000007;0.08;False;0.3;False;0.03;False;ERR;ERR;ERR
351;0.02;False;0.01;False;0.01;False;TO;TO;TO;ERR;ERR;ERR;0.06;False;0.05;False;0.03;False;ERR;ERR;ERR
352;77.3;False;0.43;False;0.49;False;0.19;False;0.155838834;0.1;False;0.059306138;0.11;False;0.45;False;1.21;False;ERR;ERR;ERR
353;0.01;False;0.0;True;0.01;True;1.31;True;0.34040807299999987;0.24;True;0.10480203799999999;0.05;True;0.05;True;0.05;True;ERR;ERR;ERR
354;ERR;ERR;6.53;False;0.01;False;1.34;False;0.10723121400000002;0.18;False;0.036254649;0.8;False;0.05;False;13.2;False;ERR;ERR;ERR
355;0.01;False;0.01;False;0.01;False;1.81;False;0.20849923799999992;0.69;False;0.032713112000000044;0.05;False;0.02;False;0.04;False;ERR;ERR;ERR
356;0.01;False;1.7;True;2.29;True;19.16;True;0.34481587800000213;2.47;True;0.10925409099999994;0.37;True;2.53;False;5.34;True;ERR;ERR;ERR
357;0.21;False;0.1;False;0.12;False;0.41;False;0.094249368;0.16;False;0.02696831899999999;0.07;False;ERR;ERR;0.36;False;ERR;ERR;ERR
358;0.02;False;0.01;False;0.02;False;0.54;False;0.12734020799999995;0.13;False;0.035533335;0.05;False;0.03;False;0.03;False;ERR;ERR;ERR
359;0.01;False;0.0;False;0.01;False;3.69;False;0.07889379000000041;0.14;False;0.01994369600000001;0.06;False;0.02;False;0.04;False;ERR;ERR;ERR
